iter	Passed	Remaining
0	2	2151
1	4	2128
2	6	2124
3	8	2144
4	10	2131
5	12	2112
6	15	2133
7	17	2116
8	19	2103
9	21	2105
10	23	2132
11	25	2123
12	27	2117
13	30	2116
14	32	2110
15	34	2106
16	36	2100
17	38	2101
18	40	2102
19	42	2099
20	44	2094
21	47	2089
22	49	2087
23	51	2086
24	53	2094
25	55	2090
26	57	2088
27	60	2084
28	62	2081
29	64	2078
30	66	2075
31	68	2076
32	70	2075
33	72	2068
34	75	2070
35	77	2065
36	79	2061
37	81	2057
38	83	2056
39	85	2053
40	87	2049
41	89	2048
42	91	2045
43	94	2043
44	96	2040
45	98	2038
46	100	2037
47	102	2034
48	104	2032
49	106	2031
50	109	2029
51	111	2027
52	113	2025
53	115	2022
54	117	2020
55	119	2021
56	122	2019
57	124	2017
58	126	2014
59	128	2014
60	130	2012
61	132	2009
62	134	2006
63	137	2005
64	139	2003
65	141	2002
66	143	2002
67	146	2006
68	148	2005
69	150	2005
70	153	2005
71	155	2002
72	157	1999
73	159	1999
74	161	1997
75	164	1996
76	166	1993
77	168	1994
78	170	1991
79	173	1989
80	175	1988
81	177	1986
82	179	1983
83	181	1979
84	183	1976
85	185	1974
86	187	1972
87	190	1971
88	192	1968
89	194	1967
90	196	1964
91	198	1962
92	201	1960
93	203	1957
94	205	1957
95	207	1953
96	209	1950
97	211	1948
98	214	1949
99	216	1947
100	218	1943
101	220	1944
102	223	1948
103	226	1952
104	228	1950
105	231	1949
106	233	1946
107	235	1946
108	237	1945
109	240	1944
110	242	1944
111	245	1944
112	247	1944
113	250	1943
114	252	1946
115	255	1948
116	258	1952
117	261	1953
118	264	1955
119	266	1957
120	269	1960
121	272	1964
122	275	1966
123	278	1965
124	280	1963
125	282	1962
126	285	1960
127	288	1963
128	290	1963
129	293	1963
130	296	1963
131	298	1963
132	301	1962
133	303	1961
134	306	1961
135	308	1960
136	311	1962
137	314	1965
138	318	1972
139	321	1972
140	323	1972
141	326	1971
142	328	1969
143	331	1969
144	333	1968
145	336	1968
146	339	1968
147	341	1967
148	344	1966
149	346	1964
150	349	1963
151	351	1962
152	354	1961
153	356	1960
154	359	1960
155	362	1958
156	364	1958
157	367	1957
158	369	1956
159	372	1955
160	374	1954
161	377	1955
162	380	1955
163	383	1956
164	386	1955
165	389	1956
166	391	1954
167	394	1951
168	396	1949
169	398	1947
170	401	1944
171	403	1942
172	405	1939
173	407	1936
174	409	1932
175	412	1929
176	414	1926
177	416	1923
178	418	1920
179	420	1917
180	423	1914
181	425	1911
182	427	1909
183	429	1905
184	431	1902
185	434	1900
186	436	1896
187	438	1893
188	440	1890
189	442	1888
190	445	1885
191	447	1883
192	449	1880
193	452	1879
194	454	1876
195	456	1873
196	458	1870
197	460	1867
198	463	1864
199	465	1861
200	467	1858
201	469	1855
202	471	1852
203	474	1849
204	476	1846
205	478	1843
206	480	1840
207	482	1838
208	485	1835
209	487	1833
210	489	1830
211	491	1827
212	493	1824
213	496	1822
214	498	1819
215	500	1816
216	502	1813
217	505	1811
218	507	1809
219	509	1806
220	511	1803
221	514	1802
222	516	1798
223	518	1796
224	520	1793
225	523	1791
226	525	1789
227	527	1787
228	530	1787
229	532	1784
230	535	1781
231	537	1778
232	539	1776
233	541	1773
234	544	1772
235	547	1771
236	549	1769
237	551	1767
238	554	1764
239	556	1761
240	558	1759
241	561	1757
242	563	1754
243	565	1750
244	567	1747
245	569	1744
246	571	1742
247	573	1740
248	576	1737
249	578	1735
250	580	1732
251	582	1729
252	584	1726
253	587	1724
254	589	1721
255	591	1718
256	593	1715
257	595	1713
258	597	1710
259	600	1707
260	602	1705
261	604	1702
262	606	1700
263	608	1697
264	611	1694
265	613	1692
266	616	1691
267	618	1689
268	620	1686
269	622	1683
270	625	1682
271	627	1679
272	629	1676
273	631	1673
274	633	1671
275	636	1669
276	638	1666
277	640	1663
278	642	1660
279	644	1658
280	646	1655
281	649	1652
282	651	1650
283	653	1647
284	655	1645
285	658	1642
286	660	1639
287	662	1637
288	664	1635
289	666	1632
290	668	1629
291	671	1627
292	673	1624
293	675	1621
294	677	1619
295	679	1617
296	682	1614
297	684	1612
298	686	1609
299	688	1607
300	690	1604
301	693	1602
302	695	1599
303	697	1596
304	699	1593
305	701	1591
306	703	1588
307	706	1586
308	708	1584
309	710	1581
310	713	1579
311	715	1576
312	717	1574
313	719	1571
314	721	1569
315	723	1567
316	726	1564
317	728	1561
318	730	1559
319	732	1556
320	734	1553
321	736	1551
322	739	1549
323	741	1546
324	743	1543
325	745	1541
326	747	1538
327	749	1536
328	752	1534
329	754	1532
330	757	1530
331	759	1528
332	761	1525
333	763	1523
334	766	1520
335	768	1518
336	770	1516
337	773	1514
338	775	1511
339	777	1509
340	779	1506
341	781	1504
342	784	1502
343	786	1499
344	788	1497
345	790	1494
346	792	1492
347	795	1489
348	797	1487
349	799	1485
350	802	1484
351	805	1482
352	807	1480
353	809	1477
354	812	1475
355	814	1473
356	816	1470
357	818	1468
358	821	1466
359	823	1463
360	825	1461
361	828	1459
362	830	1457
363	832	1455
364	835	1452
365	837	1450
366	839	1448
367	841	1445
368	843	1443
369	846	1440
370	848	1438
371	850	1436
372	852	1433
373	855	1431
374	857	1428
375	859	1426
376	862	1424
377	864	1422
378	866	1419
379	868	1417
380	870	1413
381	872	1411
382	874	1408
383	876	1406
384	879	1404
385	881	1401
386	883	1399
387	885	1397
388	888	1394
389	890	1392
390	892	1390
391	895	1388
392	897	1385
393	899	1383
394	901	1381
395	903	1378
396	905	1376
397	908	1373
398	910	1371
399	913	1369
400	915	1367
401	917	1364
402	919	1362
403	921	1359
404	924	1357
405	926	1355
406	928	1353
407	930	1350
408	932	1348
409	935	1345
410	937	1343
411	939	1340
412	942	1338
413	944	1336
414	946	1334
415	949	1332
416	951	1330
417	953	1327
418	956	1325
419	958	1324
420	961	1322
421	963	1320
422	966	1318
423	969	1316
424	971	1314
425	973	1312
426	976	1310
427	978	1307
428	981	1305
429	983	1303
430	986	1301
431	988	1299
432	991	1297
433	993	1295
434	995	1293
435	998	1291
436	1001	1289
437	1004	1288
438	1006	1286
439	1009	1284
440	1011	1282
441	1014	1280
442	1017	1278
443	1019	1277
444	1022	1275
445	1025	1273
446	1028	1271
447	1031	1270
448	1033	1268
449	1035	1266
450	1038	1264
451	1040	1261
452	1043	1259
453	1045	1257
454	1048	1256
455	1051	1254
456	1054	1252
457	1057	1251
458	1059	1249
459	1062	1247
460	1065	1245
461	1067	1243
462	1070	1241
463	1072	1239
464	1075	1237
465	1077	1235
466	1080	1232
467	1082	1230
468	1085	1228
469	1087	1226
470	1090	1224
471	1092	1222
472	1094	1219
473	1097	1217
474	1099	1215
475	1102	1213
476	1104	1211
477	1107	1208
478	1109	1207
479	1112	1205
480	1115	1203
481	1118	1202
482	1120	1199
483	1123	1197
484	1125	1195
485	1127	1192
486	1130	1190
487	1132	1188
488	1134	1185
489	1136	1183
490	1139	1180
491	1141	1178
492	1143	1176
493	1145	1173
494	1147	1170
495	1149	1168
496	1152	1166
497	1154	1163
498	1156	1161
499	1159	1159
500	1161	1156
501	1163	1154
502	1166	1152
503	1168	1150
504	1171	1148
505	1173	1145
506	1176	1143
507	1178	1141
508	1180	1138
509	1183	1136
510	1185	1134
511	1187	1132
512	1190	1129
513	1192	1127
514	1194	1124
515	1196	1122
516	1199	1120
517	1201	1117
518	1203	1115
519	1205	1112
520	1207	1110
521	1208	1106
522	1210	1104
523	1213	1102
524	1215	1100
525	1218	1097
526	1220	1095
527	1222	1092
528	1224	1090
529	1226	1087
530	1229	1085
531	1231	1083
532	1233	1081
533	1236	1078
534	1238	1076
535	1240	1074
536	1242	1071
537	1245	1069
538	1247	1066
539	1249	1064
540	1251	1061
541	1253	1059
542	1255	1056
543	1258	1054
544	1260	1052
545	1262	1049
546	1264	1047
547	1266	1044
548	1269	1042
549	1271	1039
550	1273	1037
551	1275	1035
552	1277	1032
553	1279	1030
554	1282	1028
555	1284	1025
556	1286	1023
557	1288	1020
558	1291	1018
559	1294	1016
560	1296	1014
561	1298	1012
562	1300	1009
563	1303	1007
564	1305	1005
565	1307	1002
566	1309	1000
567	1312	997
568	1314	995
569	1316	993
570	1318	990
571	1321	988
572	1323	986
573	1326	984
574	1328	981
575	1330	979
576	1332	976
577	1334	974
578	1336	971
579	1338	969
580	1341	967
581	1343	965
582	1346	962
583	1348	960
584	1350	958
585	1352	955
586	1355	953
587	1357	950
588	1359	948
589	1361	946
590	1363	943
591	1365	941
592	1367	938
593	1370	936
594	1372	934
595	1374	931
596	1376	929
597	1378	927
598	1381	924
599	1383	922
600	1385	919
601	1387	917
602	1389	914
603	1391	912
604	1394	910
605	1396	907
606	1398	905
607	1400	903
608	1403	900
609	1405	898
610	1407	896
611	1409	893
612	1411	891
613	1413	888
614	1416	886
615	1418	884
616	1420	881
617	1422	879
618	1424	876
619	1427	874
620	1429	872
621	1432	870
622	1434	867
623	1436	865
624	1438	863
625	1441	860
626	1443	858
627	1445	856
628	1447	854
629	1450	851
630	1452	849
631	1454	846
632	1456	844
633	1458	842
634	1460	839
635	1462	837
636	1465	834
637	1467	832
638	1469	830
639	1471	827
640	1474	825
641	1476	823
642	1478	820
643	1480	818
644	1482	816
645	1484	813
646	1486	811
647	1489	808
648	1491	806
649	1493	804
650	1495	801
651	1498	799
652	1500	797
653	1502	795
654	1504	792
655	1507	790
656	1509	787
657	1511	785
658	1513	783
659	1516	781
660	1518	778
661	1520	776
662	1523	774
663	1525	772
664	1527	769
665	1529	767
666	1532	764
667	1534	762
668	1536	760
669	1538	757
670	1540	755
671	1542	753
672	1545	750
673	1547	748
674	1549	746
675	1551	743
676	1553	741
677	1556	739
678	1558	736
679	1560	734
680	1562	732
681	1565	729
682	1567	727
683	1569	725
684	1571	722
685	1573	720
686	1576	718
687	1578	715
688	1580	713
689	1583	711
690	1585	708
691	1587	706
692	1589	704
693	1592	701
694	1594	699
695	1596	697
696	1598	694
697	1600	692
698	1603	690
699	1605	688
700	1607	685
701	1610	683
702	1612	681
703	1614	678
704	1616	676
705	1619	674
706	1621	671
707	1623	669
708	1626	667
709	1628	664
710	1630	662
711	1632	660
712	1634	657
713	1636	655
714	1639	653
715	1641	650
716	1643	648
717	1646	646
718	1648	644
719	1650	641
720	1652	639
721	1654	637
722	1657	634
723	1659	632
724	1661	630
725	1664	628
726	1666	625
727	1668	623
728	1670	621
729	1672	618
730	1675	616
731	1677	614
732	1679	611
733	1681	609
734	1683	607
735	1685	604
736	1688	602
737	1690	600
738	1692	597
739	1694	595
740	1697	593
741	1699	590
742	1702	588
743	1704	586
744	1706	584
745	1708	581
746	1710	579
747	1712	577
748	1715	574
749	1717	572
750	1719	570
751	1722	567
752	1724	565
753	1726	563
754	1729	561
755	1731	558
756	1733	556
757	1736	554
758	1738	551
759	1740	549
760	1742	547
761	1745	545
762	1747	542
763	1749	540
764	1751	537
765	1753	535
766	1755	533
767	1757	530
768	1760	528
769	1762	526
